City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Holoby,UA,51.0865,25.0077,33.06,98,100,9.75,light snow
1,Hasaki,JP,35.7333,140.8333,52.29,56,100,13.58,light rain
2,Hilo,US,19.7297,-155.09,78.53,81,100,12.66,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,4.61,clear sky
4,East London,ZA,-33.0153,27.9116,66.92,89,100,13.33,light rain
5,Bengkulu,ID,-3.8004,102.2655,75.67,78,68,3.91,broken clouds
6,Vaini,TO,-21.2,-175.2,86.16,62,40,4.61,scattered clouds
7,Bethel,US,41.3712,-73.414,47.48,52,0,5.75,clear sky
8,Ushuaia,AR,-54.8,-68.3,38.86,87,20,5.75,few clouds
9,Busselton,AU,-33.65,115.3333,70.0,88,74,12.06,broken clouds
10,Sao Filipe,CV,14.8961,-24.4956,70.97,80,31,4.14,scattered clouds
11,Sibolga,ID,1.7427,98.7792,75.72,89,97,2.26,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,73.11,96,100,16.82,heavy intensity rain
13,Porto Novo,BJ,6.4965,2.6036,84.02,81,99,8.34,overcast clouds
14,Lebu,CL,-37.6167,-73.65,54.32,84,100,15.48,overcast clouds
15,Bilibino,RU,68.0546,166.4372,12.74,72,99,0.67,overcast clouds
16,Pangody,RU,65.85,74.4859,-7.17,100,84,6.51,broken clouds
17,Hobart,AU,-42.8794,147.3294,60.26,77,100,5.75,overcast clouds
18,Bluff,NZ,-46.6,168.3333,58.26,71,92,18.54,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,75.04,57,7,7.58,clear sky
20,Bambous Virieux,MU,-20.3428,57.7575,76.21,100,75,6.91,moderate rain
21,Malartic,CA,48.1335,-78.1328,37.51,97,100,2.64,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,3.0,moderate rain
23,Linhares,BR,-19.3911,-40.0722,73.4,89,32,2.19,scattered clouds
24,Aklavik,CA,68.2191,-135.0107,-5.33,86,99,4.9,overcast clouds
25,Barrow,US,71.2906,-156.7887,-3.98,77,40,16.11,haze
26,Jamestown,US,42.097,-79.2353,39.02,59,0,6.91,clear sky
27,Hami,CN,42.8,93.45,49.23,23,15,9.19,few clouds
28,Buchanan,LR,5.8808,-10.0467,76.77,88,100,8.1,light rain
29,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,0,11.5,clear sky
30,Luderitz,NA,-26.6481,15.1594,58.66,86,0,11.48,clear sky
31,Lorengau,PG,-2.0226,147.2712,79.83,82,100,5.28,overcast clouds
32,Novikovo,RU,51.1537,37.8879,43.57,85,86,18.5,overcast clouds
33,Inuvik,CA,68.3499,-133.7218,-5.04,59,0,8.05,clear sky
34,Khatanga,RU,71.9667,102.5,-3.51,98,100,8.5,overcast clouds
35,Haicheng,CN,40.8516,122.7475,51.42,38,0,13.49,clear sky
36,Klaksvik,FO,62.2266,-6.589,45.52,90,100,16.35,overcast clouds
37,Atuona,PF,-9.8,-139.0333,79.66,74,2,15.61,clear sky
38,Qiongshan,CN,20.0058,110.3542,62.58,72,75,11.18,broken clouds
39,College,US,64.8569,-147.8028,23.0,71,100,4.61,light snow
40,Newport,GB,51.5877,-2.9984,38.44,78,10,7.38,clear sky
41,Mar Del Plata,AR,-38.0023,-57.5575,61.88,75,0,20.0,clear sky
42,Caraquet,CA,47.7941,-64.9386,34.34,77,59,19.53,broken clouds
43,Lokosovo,RU,61.1333,74.8167,2.19,100,95,1.9,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,60.8,82,72,13.6,broken clouds
45,San Patricio,US,28.017,-97.5169,88.54,54,1,12.33,clear sky
46,Geraldton,AU,-28.7667,114.6,75.61,88,75,6.91,broken clouds
47,Upernavik,GL,72.7868,-56.1549,7.97,98,95,11.25,overcast clouds
48,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,100,9.93,overcast clouds
49,Khandyga,RU,62.6667,135.6,12.76,78,82,4.56,broken clouds
50,Alice Springs,AU,-23.7,133.8833,71.15,32,26,12.66,scattered clouds
51,Guerrero Negro,MX,27.9769,-114.0611,64.27,61,65,15.97,broken clouds
52,Victoria,HK,22.2855,114.1577,64.26,60,97,11.01,overcast clouds
53,Norman Wells,CA,65.282,-126.8329,5.04,39,20,0.0,few clouds
54,Kiunga,PG,-6.1219,141.2906,84.99,66,65,2.57,broken clouds
55,Yerres,FR,48.7179,2.4934,39.94,66,0,11.5,clear sky
56,Canton,CN,23.1167,113.25,62.55,50,93,9.6,overcast clouds
57,Canutama,BR,-6.5339,-64.3831,68.86,100,100,0.49,overcast clouds
58,Mataura,NZ,-46.1927,168.8643,61.57,59,79,5.95,broken clouds
59,Chongwe,ZM,-15.3292,28.682,62.91,95,7,2.35,light rain
60,Kodiak,US,57.79,-152.4072,38.71,81,0,4.61,clear sky
61,Vila Velha,BR,-20.3297,-40.2925,80.55,89,75,4.61,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,63.01,74,0,9.22,clear sky
63,Pangnirtung,CA,66.1451,-65.7125,17.31,88,84,4.79,broken clouds
64,Thompson,CA,55.7435,-97.8558,30.36,43,75,4.61,broken clouds
65,Odienne,CI,9.51,-7.5692,78.1,71,100,6.42,overcast clouds
