City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hasaki,JP,52.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
2,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Hain
4,East London,ZA,66.92,light rain,-33.0153,27.9116,Tu Casa
5,Bengkulu,ID,75.67,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Bethel,US,47.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
8,Ushuaia,AR,38.86,few clouds,-54.8,-68.3,Albatross Hotel
9,Busselton,AU,70.0,broken clouds,-33.65,115.3333,Observatory Guest House
10,Sao Filipe,CV,70.97,scattered clouds,14.8961,-24.4956,Hotel Xaguate
11,Sibolga,ID,75.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
12,Saint-Philippe,RE,73.11,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
14,Lebu,CL,54.32,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
15,Bilibino,RU,12.74,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
17,Hobart,AU,60.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
18,Bluff,NZ,58.26,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
19,Rikitea,PF,75.04,clear sky,-23.1203,-134.9692,People ThankYou
20,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
21,Malartic,CA,37.51,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
22,Port Alfred,ZA,63.18,moderate rain,-33.5906,26.891,The Halyards Hotel
23,Linhares,BR,73.4,scattered clouds,-19.3911,-40.0722,Hotel Conceição
26,Jamestown,US,39.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Hami,CN,49.23,few clouds,42.8,93.45,Laoyutang Resort
28,Buchanan,LR,76.77,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
29,Rio Gallegos,AR,42.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
31,Lorengau,PG,79.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Haicheng,CN,51.42,clear sky,40.8516,122.7475,Haicheng Grand Hotel
36,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
37,Atuona,PF,79.66,clear sky,-9.8,-139.0333,Villa Enata
38,Qiongshan,CN,62.58,broken clouds,20.0058,110.3542,Sun City Restaurant
39,College,US,23.0,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
40,Newport,GB,38.44,clear sky,51.5877,-2.9984,ibis budget Newport
41,Mar Del Plata,AR,61.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
42,Caraquet,CA,34.34,broken clouds,47.7941,-64.9386,Gite Le Poirier
44,Hermanus,ZA,60.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
45,San Patricio,US,88.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
46,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
47,Upernavik,GL,7.97,overcast clouds,72.7868,-56.1549,Café de Upernavik
48,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
49,Khandyga,RU,12.76,broken clouds,62.6667,135.6,Apel'sin
50,Alice Springs,AU,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
51,Guerrero Negro,MX,64.27,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
52,Victoria,HK,64.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
53,Norman Wells,CA,5.04,few clouds,65.282,-126.8329,Heritage Hotel
54,Kiunga,PG,84.99,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
55,Yerres,FR,39.94,clear sky,48.7179,2.4934,Château Du Maréchal De Saxe
